"original","companyName","_id"
"Amazon","Amazon.com, Inc","6217e6de8e1cf2602e39e04e"
"Harris Teeter Supermarkets, Inc.","Harris Teeter","6217e6f78e1cf2602e3a2f4e"
"Amazon Marketplace","Amazon.com, Inc","6217e6de8e1cf2602e39e04e"
"CVS","CVS Health Corporation","6217e6f68e1cf2602e3a2c2a"
"APPLE.COM/BILL","Apple Inc","6217e6de8e1cf2602e39dfce"
"Whole Foods","Whole Foods Market","6217e6f68e1cf2602e3a2aca"
"Walgreens","AmerisourceBergen Corp",
"Costco","Costco Wholesale Corp","6217e6de8e1cf2602e39e166"
"Google Stora","Google","6217e6f68e1cf2602e3a2cf6"
"AMAZON DIGITAL DOWNLOADS","Amazon.com, Inc","6217e6de8e1cf2602e39e04e"
"Google Stora","Google","6217e6f68e1cf2602e3a2cf6"
"Godaddy","GoDaddy.com Inc","6217e6df8e1cf2602e39e2e6"
"Amazon Prime Video","Amazon Prime","6217e6f68e1cf2602e3a2a82"
"Home Depot","The Home Depot Inc.","6217e6df8e1cf2602e39e342"
"Verizon Wireless","Verizon Communications Inc.","6217e6e08e1cf2602e39e7c6"
"T-Mobile","T-Mobile US, Inc","6217e6e08e1cf2602e39e702"
"Best Buy","Best Buy Co., Inc.",
"Publix","Publix Super Markets, Inc.","6217e6ea8e1cf2602e3a00aa"
"Kroger","The Kroger Co.","6217e6fc8e1cf2602e3a3afe"
"DISNEY CRUISE RES","Disney Cruise Line","6217e6f68e1cf2602e3a2c76"
"ExxonMobil","Exxon Mobil Corporation","6217e6e18e1cf2602e39e842"
"Spectrum","Spectrum Brands Holdings Inc","6217e6e08e1cf2602e39e67e"
"Lowe's","Lowes Companies, Inc.","6217e6e08e1cf2602e39e67e"
"Help.hbomax","HBO MAX","6217e6f98e1cf2602e3a328e"
"SOUTHWES XXXXXXXXXX","Southwest Airlines Co.","6217e6df8e1cf2602e39e436"
"United","United Airlines Holdings, Inc","6217e6e08e1cf2602e39e756"
"Amazon Web Services","Amazon.com, Inc","6217e6de8e1cf2602e39e04e"
"Dunkin' Donuts","Dunkin'","6217e6f68e1cf2602e3a2caa"
"Google Storage","Google","6217e6f68e1cf2602e3a2cf6"
"Verizon Vz","Verizon Communications Inc.","6217e6e08e1cf2602e39e7c6"
"Kroger Fuel","The Kroger Co.","6217e6fc8e1cf2602e3a3afe"
"Zoom.us","Zoom Video Communications Inc","6217e6e18e1cf2602e39e84e"
"Lululemonus","Lululemon Athletica Inc","6217e6df8e1cf2602e39e422"
"Nytimes","The New York Times Company","6217e6df8e1cf2602e39e52e"
"Att","AT&T Inc","6217e6e08e1cf2602e39e6da"
"Dick's Clothing&sporting","Dick's Sporting Goods Inc","6217e6df8e1cf2602e39e1ee"
"Nytimes D","The New York Times Company","6217e6df8e1cf2602e39e52e"
"Domino's","Domino's Pizza Inc","6217e6df8e1cf2602e39e1fe"
"Wendy's","The Wendy's Company","6217e6e08e1cf2602e39e7ca"
"Apple Cash","Apple Inc","6217e6de8e1cf2602e39dfce"
"W/d Apple.com/bill","Apple Inc","6217e6de8e1cf2602e39dfce"
"Toyota","Toyota Motor Corporation","6217e6eb8e1cf2602e3a0362"
"Wells Fargo Home Mortgage","Wells Fargo and Co","6217e6e08e1cf2602e39e7e6"
"TJ Maxx","The TJX Companies, Inc.","6217e6e08e1cf2602e39e6f6"
"ULTA","Ulta Beauty, Inc","6217e6e08e1cf2602e39e766"
"Southwes","Southwest Airlines Co.","6217e6df8e1cf2602e39e436"
"Google Sto","Google","6217e6f68e1cf2602e3a2cf6"
"Costco Gas","Costco Wholesale Corp","6217e6de8e1cf2602e39e166"
"Amazon Kindle","Amazon.com, Inc","6217e6de8e1cf2602e39e04e"
"W/d Costco Whse","Costco Wholesale Corp","6217e6de8e1cf2602e39e166"
