plaid_category.0,plaid_category.1,plaid_category.2,category,subCategory,
Bank Fees,ATM,,Financial Services,Banking,
Bank Fees,Cash Advance,,Financial Services,Banking,
Bank Fees,Excess Activity,,Financial Services,Banking,
Bank Fees,Foreign Transaction,,Financial Services,Banking,
Bank Fees,Fraud Dispute,,Financial Services,Banking,
Bank Fees,Insufficient Funds,,Financial Services,Banking,
Bank Fees,Late Payment,,Financial Services,Banking,
Bank Fees,Overdraft,,Financial Services,Banking,
Bank Fees,Wire Transfer,,Financial Services,Banking,
Bank Fees,,,Financial Services,Banking,
Cash Advance,,,Financial Services,Banking,
Community,Animal Shelter,,Nonprofits,Nonprofits,
Community,Assisted Living Services,,Healthcare,Equipment & Services,
Community,Assisted Living Services,Facilities and Nursing Homes,Healthcare,Equipment & Services,
Community,Assisted Living Services,Caretakers,Healthcare,Equipment & Services,
Community,Cemetery,,Professional Services,Other Services,
Community,Courts,,Professional Services,Legal,
Community,Day Care and Preschools,,Professional Services,Childcare Services,
Community,Disabled Persons Services,,Professional Services,Other Services,
Community,Drug and Alcohol Services,,Professional Services,Other Services,
Community,Education,,Education,Education,
Community,Education,Vocational Schools,Education,Education,
Community,Education,Tutoring and Educational Services,Education,Education,
Community,Education,Primary and Secondary Schools,Education,Education,
Community,Education,Fraternities and Sororities,Education,Education,
Community,Education,Driving Schools,Education,Education,
Community,Education,Dance Schools,Education,Education,
Community,Education,Culinary Lessons and Schools,Education,Education,
Community,Education,Computer Training,Education,Education,
Community,Education,Colleges and Universities,Education,Education,
Community,Education,Art School,Education,Education,
Community,Education,Adult Education,Education,Education,
Community,Government Departments and Agencies,,Municipalities,Other,
Community,Government Lobbyists,,,,hide
Community,Housing Assistance and Shelters,,Nonprofits,Nonprofits,
Community,Law Enforcement,,Municipalities,Local,
Community,Law Enforcement,Police Stations,Municipalities,Local,
Community,Law Enforcement,Fire Stations,Municipalities,Local,
Community,Law Enforcement,Correctional Institutions,Municipalities,Local,
Community,Libraries,,Municipalities,Local,
Community,Military,,,,hide
Community,Organizations and Associations,,Nonprofits,Nonprofits,
Community,Organizations and Associations,Youth Organizations,Nonprofits,Nonprofits,
Community,Organizations and Associations,Environmental,Nonprofits,Nonprofits,
Community,Organizations and Associations,Charities and Non-Profits,Nonprofits,Nonprofits,
Community,Post Offices,,Municipalities,Local,
Community,Public and Social Services,,Nonprofits,Nonprofits,
Community,Religious,,Municipalities,Local,
Community,Religious,Temple,Municipalities,Local,
Community,Religious,Synagogues,Municipalities,Local,
Community,Religious,Mosques,Municipalities,Local,
Community,Religious,Churches,Municipalities,Local,
Community,Senior Citizen Services,,Professional Services,Other Services,
Community,Senior Citizen Services,Retirement,Professional Services,Other Services,
Community,,,Nonprofits,Nonprofits,
Food and Drink,Bar,,Dining Out,Bars & Wineries,
Food and Drink,Bar,Wine Bar,Dining Out,Bars & Wineries,
Food and Drink,Bar,Sports Bar,Dining Out,Bars & Wineries,
Food and Drink,Bar,Hotel Lounge,Dining Out,Bars & Wineries,
Food and Drink,Breweries,,Dining Out,Bars & Wineries,
Food and Drink,Internet Cafes,,Dining Out,Cafes & Bakeries,
Food and Drink,Nightlife,,Dining Out,Bars & Wineries,
Food and Drink,Nightlife,Strip Club,,,hide
Food and Drink,Nightlife,Night Clubs,Dining Out,Bars & Wineries,
Food and Drink,Nightlife,Karaoke,Dining Out,Bars & Wineries,
Food and Drink,Nightlife,Jazz and Blues Cafe,Dining Out,Bars & Wineries,
Food and Drink,Nightlife,Hookah Lounges,Dining Out,Bars & Wineries,
Food and Drink,Nightlife,Adult Entertainment,,,hide
Food and Drink,Restaurants,,Dining Out,Restaurants,
Food and Drink,Restaurants,Winery,Dining Out,Bars & Wineries,
Food and Drink,Restaurants,Vegan and Vegetarian,Dining Out,Restaurants,
Food and Drink,Restaurants,Turkish,Dining Out,Restaurants,
Food and Drink,Restaurants,Thai,Dining Out,Restaurants,
Food and Drink,Restaurants,Swiss,Dining Out,Restaurants,
Food and Drink,Restaurants,Sushi,Dining Out,Restaurants,
Food and Drink,Restaurants,Steakhouses,Dining Out,Restaurants,
Food and Drink,Restaurants,Spanish,Dining Out,Restaurants,
Food and Drink,Restaurants,Seafood,Dining Out,Restaurants,
Food and Drink,Restaurants,Scandinavian,Dining Out,Restaurants,
Food and Drink,Restaurants,Portuguese,Dining Out,Restaurants,
Food and Drink,Restaurants,Pizza,Dining Out,Restaurants,
Food and Drink,Restaurants,Moroccan,Dining Out,Restaurants,
Food and Drink,Restaurants,Middle Eastern,Dining Out,Restaurants,
Food and Drink,Restaurants,Mexican,Dining Out,Restaurants,
Food and Drink,Restaurants,Mediterranean,Dining Out,Restaurants,
Food and Drink,Restaurants,Latin American,Dining Out,Restaurants,
Food and Drink,Restaurants,Korean,Dining Out,Restaurants,
Food and Drink,Restaurants,Juice Bar,Dining Out,Restaurants,
Food and Drink,Restaurants,Japanese,Dining Out,Restaurants,
Food and Drink,Restaurants,Italian,Dining Out,Restaurants,
Food and Drink,Restaurants,Indonesian,Dining Out,Restaurants,
Food and Drink,Restaurants,Indian,Dining Out,Restaurants,
Food and Drink,Restaurants,Ice Cream,Dining Out,Cafes & Bakeries,
Food and Drink,Restaurants,Greek,Dining Out,Restaurants,
Food and Drink,Restaurants,German,Dining Out,Restaurants,
Food and Drink,Restaurants,Gastropub,Dining Out,Restaurants,
Food and Drink,Restaurants,French,Dining Out,Restaurants,
Food and Drink,Restaurants,Food Truck,Dining Out,Restaurants,
Food and Drink,Restaurants,Fish and Chips,Dining Out,Restaurants,
Food and Drink,Restaurants,Filipino,Dining Out,Restaurants,
Food and Drink,Restaurants,Fast Food,Dining Out,Fast Food,
