category.0,category.1,category.2,CO2
Bank Fees,,,0.223227192
Bank Fees,ATM,,0.223227192
Bank Fees,Cash Advance,,0.223227192
Bank Fees,Excess Activity,,0.223227192
Bank Fees,Foreign Transaction,,0.223227192
Bank Fees,Fraud Dispute,,0.223227192
Bank Fees,Insufficient Funds,,0.223227192
Bank Fees,Late Payment,,0.223227192
Bank Fees,Overdraft,,0.223227192
Bank Fees,Wire Transfer,,0.223227192
Cash Advance,,,0.223227192
Community,,,0.213911412
Community,Animal Shelter,,0.118008761
Community,Assisted Living Services,,0.230616398
Community,Assisted Living Services,Caretakers,0.230616398
Community,Assisted Living Services,Facilities and Nursing Homes,0.230616398
Community,Cemetery,,0.0708894
Community,Courts,,0.090866332
Community,Day Care and Preschools,,0.27528151
Community,Disabled Persons Services,,0.213911412
Community,Drug and Alcohol Services,,0.338590167
Community,Education,,0.182008704
Community,Education,Adult Education,0.182008704
Community,Education,Art School,0.182008704
Community,Education,Colleges and Universities,0.250773566
Community,Education,Computer Training,0.182008704
Community,Education,Culinary Lessons and Schools,0.182008704
Community,Education,Dance Schools,0.182008704
Community,Education,Driving Schools,0.182008704
Community,Education,Fraternities and Sororities,0.182008704
Community,Education,Primary and Secondary Schools,0.192282302
Community,Education,Tutoring and Educational Services,0.182008704
Community,Education,Vocational Schools,0.182008704
Community,Government Departments and Agencies,,0.370490328
Community,Government Lobbyists,,0.370490328
Community,Housing Assistance and Shelters,,0.338590167
Community,Law Enforcement,,0.370490328
Community,Law Enforcement,Correctional Institutions,0.370490328
Community,Law Enforcement,Fire Stations,0.370490328
Community,Law Enforcement,Police Stations,0.370490328
Community,Libraries,,0.19344165
Community,Military,,0.229327582
Community,Organizations and Associations,,0.118008761
Community,Organizations and Associations,Charities and Non-Profits,0.118008761
Community,Organizations and Associations,Environmental,0.118008761
Community,Organizations and Associations,Youth Organizations,0.118008761
Community,Post Offices,,0.240242572
Community,Public and Social Services,,0.192135304
Community,Religious,,0.305207809
Community,Religious,Churches,0.305207809
Community,Religious,Mosques,0.305207809
Community,Religious,Synagogues,0.305207809
Community,Religious,Temple,0.305207809
Community,Senior Citizen Services,,0.213911412
Community,Senior Citizen Services,Retirement,0.213911412
Food and Drink,,,0.234246093
Food and Drink,Bar,,0.234246093
Food and Drink,Bar,Hotel Lounge,0.234246093
Food and Drink,Bar,Sports Bar,0.234246093
Food and Drink,Bar,Wine Bar,0.234246093
Food and Drink,Breweries,,0.234246093
Food and Drink,Internet Cafes,,0.234246093
Food and Drink,Nightlife,,0.429231765
Food and Drink,Nightlife,Adult Entertainment,0.429231765
Food and Drink,Nightlife,Hookah Lounges,0.429231765
Food and Drink,Nightlife,Jazz and Blues Cafe,0.429231765
Food and Drink,Nightlife,Karaoke,0.429231765
Food and Drink,Nightlife,Night Clubs,0.429231765
Food and Drink,Nightlife,Strip Club,0.429231765
Food and Drink,Restaurants,,0.234246093
Food and Drink,Restaurants,Afghan,0.329311316
Food and Drink,Restaurants,African,0.329311316
Food and Drink,Restaurants,American,0.329311316
Food and Drink,Restaurants,Asian,0.329311316
Food and Drink,Restaurants,Australian,0.329311316
Food and Drink,Restaurants,Bagel Shop,0.234246093
Food and Drink,Restaurants,Bakery,0.234246093
Food and Drink,Restaurants,Barbecue,0.234246093
Food and Drink,Restaurants,Brazilian,0.329311316
Food and Drink,Restaurants,Breakfast Spot,0.234246093
Food and Drink,Restaurants,Burgers,0.234246093
Food and Drink,Restaurants,Burrito,0.234246093
Food and Drink,Restaurants,Cafe,0.234246093
Food and Drink,Restaurants,Cajun,0.329311316
Food and Drink,Restaurants,Caribbean,0.329311316
Food and Drink,Restaurants,Chinese,0.329311316
Food and Drink,Restaurants,Coffee Shop,0.234246093
Food and Drink,Restaurants,Cuban,0.234246093
Food and Drink,Restaurants,Cupcake Shop,0.234246093
Food and Drink,Restaurants,Delis,0.234246093
Food and Drink,Restaurants,Dessert,0.234246093
Food and Drink,Restaurants,Diners,0.234246093
Food and Drink,Restaurants,Distillery,0.234246093
Food and Drink,Restaurants,Donuts,0.234246093
Food and Drink,Restaurants,Eastern European,0.234246093
Food and Drink,Restaurants,Ethiopian,0.329311316
