"companyName","_id"
"Alliance Data Systems Corp","620ab7584aaeb67237a37873"
"ACADIA Pharmaceuticals Inc.","620ab7584aaeb67237a37877"
"American Airlines","620ab7584aaeb67237a3787b"
"Automatic Data Processing Inc","620ab7584aaeb67237a3787f"
"Adobe","620ab7584aaeb67237a37883"
"Abbott Laboratories","620ab7594aaeb67237a37887"
"Axon Enterprise, Inc.","620ab7594aaeb67237a3788b"
"Advance Auto Parts","620ab7594aaeb67237a3788f"
"Arch","620ab7594aaeb67237a37893"
"Autodesk, Inc.","620ab7594aaeb67237a37897"
"Ameren","620ab7594aaeb67237a3789b"
"Apple","620ab7594aaeb67237a3789f"
"American International Group","620ab7594aaeb67237a378a3"
"ADT Inc.","620ab7594aaeb67237a378a7"
"AES","620ab7594aaeb67237a378ab"
"Avangrid","620ab7594aaeb67237a378af"
"American Financial Group","620ab7594aaeb67237a378b3"
"American Electric Power","620ab7594aaeb67237a378b7"
"Accenture PLC","620ab7594aaeb67237a378bb"
"AECOM","620ab7594aaeb67237a378bf"
"Aflac Incorporated","620ab75a4aaeb67237a378c3"
"Assured Guaranty Ltd","620ab75a4aaeb67237a378c7"
"Akamai","620ab75a4aaeb67237a378cb"
"Assurant Inc","620ab75a4aaeb67237a378cf"
"Air Lease Corp","620ab75a4aaeb67237a378d3"
"Ally Financial Inc","620ab75a4aaeb67237a378d7"
"Arthur J. Gallagher & Co","620ab75a4aaeb67237a378db"
"Alaska Air","620ab75a4aaeb67237a378df"
"Allstate","620ab75a4aaeb67237a378e3"
"AMG","620ab75a4aaeb67237a378e7"
"TD Ameritrade","620ab75a4aaeb67237a378eb"
"Ameriprise Financial","620ab75a4aaeb67237a378ef"
"AutoNation Inc","620ab75a4aaeb67237a378f3"
"American National Group","620ab75a4aaeb67237a378f7"
"Arista Networks, Inc.","620ab75a4aaeb67237a378fb"
"Aon","620ab75b4aaeb67237a378ff"
"Apollo Global","620ab75b4aaeb67237a37903"
"APA Corporation","620ab75b4aaeb67237a37907"
"Ansys, Inc.","620ab75b4aaeb67237a3790b"
"Anthem","620ab75b4aaeb67237a3790f"
"Aramark Holdings","620ab75b4aaeb67237a37913"
"Athene","620ab75b4aaeb67237a37917"
"Associated Bank","620ab75b4aaeb67237a3791b"
"Amazon","620ab75b4aaeb67237a3791f"
"Atmos Energy","620ab75b4aaeb67237a37923"
"AptarGroup, Inc.","620ab75b4aaeb67237a37927"
"Altice USA Inc","620ab75b4aaeb67237a3792b"
"American Water","620ab75b4aaeb67237a3792f"
"Avalara, Inc.","620ab75b4aaeb67237a37933"
"American Express","620ab75c4aaeb67237a37937"
"Alteryx, Inc.","620ab75c4aaeb67237a3793b"
"Axis Capital Holdings Ltd","620ab75c4aaeb67237a3793f"
"AspenTech","620ab75c4aaeb67237a37943"
