original,companyName,_id
Sprouts Farmers Market,Sprouts Farmers Market,6204f6cdd1029e9462b25513
Sam's Club,Sam's Club,6204f6e6d1029e9462b2a233
Amazon Prime,Amazon Prime,6204f6e4d1029e9462b2994f
Office Depot,Office Depot,6204f6dad1029e9462b277d3
Panera Bread,Panera Bread,6204f6efd1029e9462b2c07b
Rack Room Shoes,Rack Room Shoes,6204f6e4d1029e9462b29cff
Five Below,Five Below,6204f6cbd1029e9462b2516f
Bath And Body Works,Bath & Body Works,6204f6e5d1029e9462b29e17
Geek Squad,Geek Squad,6204f6e4d1029e9462b299a3
Pizza Hut,Pizza Hut,6204f6e6d1029e9462b2a277
United Airlines,"United Airlines Holdings, Inc",6204f6cdd1029e9462b2560b
Royal Caribbean,Royal Caribbean Group,6204f6ccd1029e9462b254b7
Chipotle Mexican Grill,Chipotle Mexican Grill Inc,6204f6cbd1029e9462b24ff3
Jeni's Splendid Ice,Jeni's Splendid Ice Creams,6204f6d4d1029e9462b266f3
UBER EATS,UBER EATS,6204f6e6d1029e9462b2a1e7
Ross Stores,Ross Stores Inc,6204f6ccd1029e9462b254db
Carnival Cruise Lines,Carnival Cruise Line,6204f6ead1029e9462b2ac4b
Tractor Supply,Tractor Supply Co,6204f6cdd1029e9462b255e3
Dollar General,Dollar General Corp,6204f6cbd1029e9462b2507f
Marathon Petroleum Corporation,Marathon Petroleum Corp,6204f6ccd1029e9462b25343
Delta Air Lines,Delta Air Lines Inc,6204f6cbd1029e9462b2506f
Foot Locker,Foot Locker Inc,6204f6cbd1029e9462b25187
Champs Sports,Champs Sports,6204f6e4d1029e9462b29b97
Thrive Market,Thrive Market,6204f6cdd1029e9462b257bf
West Elm,West Elm,6204f6e6d1029e9462b2a227
Dominion Energy,Dominion Energy,6204f6cbd1029e9462b2506b
Rite Aid,Rite Aid,6204f6e6d1029e9462b2a1fb
DICK'S Sporting Goods,Dick's Sporting Goods Inc,6204f6cbd1029e9462b2509f
Dick's Sporting Goods,Dick's Sporting Goods Inc,6204f6cbd1029e9462b2509f
King Soopers,King Soopers,6204f6e5d1029e9462b29e0f
Family Dollar,Family Dollar,6204f6e4d1029e9462b29b5f
Boost Mobile,Boost Mobile,6204f6e4d1029e9462b29b3b
Cash App*,Cash App,6204f6e5d1029e9462b2a06b
Jpmorgan chase,JPMorgan Chase & Co,6204f6ccd1029e9462b2526f
Alliant Energy,Alliant Energy,6204f6ccd1029e9462b252cb
U.s. Cellular,U.S. Cellular,6204f6ecd1029e9462b2b5db
Trunk Club,Trunk Club,6204f6e4d1029e9462b29cf7
Casey's General Store,Casey's General Stores Inc,6204f6cbd1029e9462b24f77
Cricket Wireless,Cricket Wireless,6204f6e6d1029e9462b2a14f
American Airlines,American Airlines,6204f6cad1029e9462b24e73
Adobe Inc,Adobe,6204f6cad1029e9462b24e77
Adobe,Adobe,6204f6cad1029e9462b24e77
Apple,Apple,6204f6cad1029e9462b24eb3
Alaska Air,Alaska Air,6204f6cad1029e9462b24ecb
Aramark,Aramark Holdings,6204f6cbd1029e9462b24f07
AutoZone,"AutoZone, Inc.",6204f6cbd1029e9462b24f47
Chegg,Chegg,6204f6cbd1029e9462b24fc7
Burlington,Burlington,6204f6cbd1029e9462b24fd3
CAPITAL ONE,Capital One,6204f6cbd1029e9462b25003
Comcast,Comcast,6204f6cbd1029e9462b2500b
Chevron,Chevron,6204f6cbd1029e9462b2505f
Dropbox,Dropbox,6204f6cbd1029e9462b25077
DISCOVER,Discover,6204f6cbd1029e9462b25083
Dollar Tree,Dollar Tree,6204f6cbd1029e9462b250b7
eBay,eBay Inc,6204f6cbd1029e9462b250cf
Etsy,"Etsy, Inc.",6204f6cbd1029e9462b25107
Etsy Inc,"Etsy, Inc.",6204f6cbd1029e9462b25107
Expedia,Expedia Inc,6204f6cbd1029e9462b2512f
FirstEnergy,FirstEnergy,6204f6cbd1029e9462b25137
Fedex,FedEx Corp,6204f6cbd1029e9462b25143
FedEx,FedEx Corp,6204f6cbd1029e9462b25143
JetBlue,JetBlue,6204f6ccd1029e9462b25263
Jetblue,JetBlue,6204f6ccd1029e9462b25263
CarMax,CarMax Inc,6204f6ccd1029e9462b25293
Nordstrom,Nordstrom,6204f6ccd1029e9462b25297
Kohl's,Kohl's,6204f6ccd1029e9462b2529b
Kohls,Kohl's,6204f6ccd1029e9462b2529b
Lowes,Lowe's,6204f6ccd1029e9462b252d7
Lyft,"Lyft, Inc.",6204f6ccd1029e9462b252ef
Mcdonald's,McDonald's Corp,6204f6ccd1029e9462b2530f
Mc Donalds,McDonald's Corp,6204f6ccd1029e9462b2530f
McDonald's,McDonald's Corp,6204f6ccd1029e9462b2530f
W/d Mcdonald's,McDonald's Corp,6204f6ccd1029e9462b2530f
Microsoft,Microsoft,6204f6ccd1029e9462b2535b
Match,Match Group,6204f6ccd1029e9462b25373
Netflix,Netflix Inc,6204f6ccd1029e9462b2539b
Nike,Nike,6204f6ccd1029e9462b2539f
Progressive,Progressive,6204f6ccd1029e9462b2544b
Planet Fitness,Planet Fitness,6204f6ccd1029e9462b25467
Phillips 66,Phillips 66,6204f6ccd1029e9462b2548b
Peloton,Peloton,6204f6ccd1029e9462b25493
Starbucks,Starbucks Corporation,6204f6cdd1029e9462b2550f
Siriusxm,SiriusXM Holdings Inc.,6204f6cdd1029e9462b25523
Square,Square,6204f6cdd1029e9462b25553
