old_category,old_subcategory,tier_1,tier_2,tier_3,tier_4
Agriculture & Forestry,Agriculture & Forestry,"Agriculture, Forestry, Fishing and Hunting",Cattle Ranching & Farming,,
Agriculture & Forestry,Agriculture & Forestry,"Agriculture, Forestry, Fishing and Hunting","Fruit, Vegetable & Crop farming",,
Dining Out,Restaurants,Dining Out,Restaurants ,,
Dining Out,Cafes & Bakeries,Dining Out,Cafe's & Bakeries,Cafes,
Dining Out,Cafes & Bakeries,Dining Out,Cafe's & Bakeries,Bakeries,
Dining Out,Bars & Wineries,Dining Out,"Bars, Breweries & Wineries",Bars,
Dining Out,Bars & Wineries,Dining Out,"Bars, Breweries & Wineries",Wineries,
Dining Out,Bars & Wineries,Dining Out,"Bars, Breweries & Wineries",Breweries,
Dining Out,Fast Food,Dining Out,Fast Food,Coffee Franchise,
Dining Out,Fast Food,Dining Out,Fast Food,Pizza chains,
Dining Out,Fast Food,Dining Out,Fast Food,Hamburgers & Sandwiches,
Education,Education,Educational Services,"Colleges, Universities & Schools",,
Education,Education,Educational Services,Training & Courses,,
Financial Services,Banking,Finance & Insurance ,Commercial Banking,,
Financial Services,Capital Markets,Financial Services,"Securities, Commodity contracts, and investments",Commodity Contracts Brokerage,
,,Financial Services,"Securities, Commodity contracts, and investments",Investment Services,
,,Financial Services,"Securities, Commodity contracts, and investments",Securities Brokerage,
Financial Services,Insurance,Financial Services,Insurance Carriers,,
,,Financial Services,"Agencies, Brokerages, and Other Insurance Related Activities",,
Financial Services,Taxes,Financial Services,Tax Preparation Services,,
Food & Beverage,Beverage,Food & Beverage,Beverage,Soda,
Food & Beverage,Beverage,Food & Beverage,Beverage,Tea,
Food & Beverage,Beverage,Food & Beverage,Beverage,Coffee,
Food & Beverage,Beverage,Food & Beverage,Beverage,Kombucha,
Food & Beverage,Beverage,Food & Beverage,Beverage,Water,
Food & Beverage,Beverage,Food & Beverage,Beverage,Sports Drinks,
,,Food & Beverage,Dairy,Cheese,
,,Food & Beverage,Dairy,Milk,
,,Food & Beverage,Dairy,Icecream & Frozen Yogurt,
Food & Beverage,Food,Food & Beverage,Food,Chocolate,
Food & Beverage,Food,Food & Beverage,Food,Peanut Butter,
Food & Beverage,Food,Food & Beverage,Food,Condiments,
Food & Beverage,Food,Food & Beverage,Food,Cookies & Chips,
Food & Beverage,Food,Food & Beverage,Food,Meat & Poultry Products,
Food & Beverage,Food,Food & Beverage,Food,Cookies & Chips,
Media & Entertainment,Streaming Services,Media & Entertainment,Entertainment,Streaming Services,
Media & Entertainment,Social Media,Media & Entertainment,Media,Social Media,
Media & Entertainment,Video Games,Media & Entertainment,Entertainment,Video Games,
Media & Entertainment,Publishing,Media & Entertainment,Media,News ,
Media & Entertainment,Publishing,Media & Entertainment,Entertainment,Publishing,
Retail,Automobiles & Parts,Automobile Dealers,New Car Dealers,,
Retail,Automobiles & Parts,Automobile Dealers,Used Car Dealers,,
Retail,Automobiles & Parts,"Automotive Parts, Accessories and Tire Stores",Automotive Parts and Accessories Stores,,
Retail,Automobiles & Parts,"Automotive Parts, Accessories and Tire Stores",Tire Dealers,,
Retail,Groceries,Retail,Convenience Stores & Pharmacy,Convenience Stores,
Retail,Pharmacy,Retail,Convenience Stores & Pharmacy,Pharmacy,
Retail,Groceries,Retail,Grocery Stores,Supermarket & Other Grocery Stores,
Apparel,Clothing,Apparel,Clothing ,,
Apparel,Clothing,Apparel,Clothing ,,
Apparel,Clothing,Apparel,Clothing ,,
,,Apparel,Clothing ,Casual wear,
Apparel,Clothing,Apparel,Clothing ,Luxury Fashion,
Apparel,Clothing,Apparel,Clothing ,Activewear & Outerwear,
Apparel,Clothing,Apparel,Clothing ,Loungewear & Lingerie,
,,Apparel,Clothing ,Children's Clothing,
Apparel,Shoes,Apparel,Shoes,Children's Shoes,
Apparel,Shoes,Apparel,Shoes,Luxury Shoes,
Apparel,Shoes,Apparel,Shoes,Casual Shoes,
Apparel,Shoes,Apparel,Shoes,Athletic Shoes,
Apparel,Accessories,Apparel,Jewelry & Other Accessories,Jewelry,
Apparel,Accessories,Apparel,Jewelry & Other Accessories,Luggage & Handbags,
,,Apparel,Jewelry & Other Accessories,Socks,
Personal Care,Cosmetics,Personal Care,Cosmetics,,
Personal Care,General,Personal Care,Perfume,,
Personal Care,Skincare,Personal Care,Skincare,,
,,Personal Care,Hair care,,
,,Personal Care,Oral care,,
,,Personal Care,Feminine Hygiene,,
,,Personal Care,Soap & Bath Products,,
Retail,Pets,Retail,Pet & Pet Supply stores,,
Retail,Baby,Retail,Kids & Infant Stores,Toy Stores,
Retail,Baby,Retail,Kids & Infant Stores,"Diapers, Baby Wipes & Potty Training Supplies",
Professional Services,Consulting,Services,IT & Business Consulting,IT Consulting,
Professional Services,Communication,Services,Advertising and Public Relations,Public Relations,
Professional Services,Marketing Services,Services,Advertising and Public Relations,Advertising,
Technology,Telecommunications,Technology,Telecommunications Service Providers,Cable Television Services,
Technology,Telecommunications,Technology,Telecommunications Service Providers,Telecommunications Services,
Technology,Software,Technology,Software,Business Intelligence Services,
