top_category_1,top_category_2,top_category_3,mapped_tier,tier_1,tier_2,tier_3,tier_4
Bank Fees,ATM,,Commercial Banking,Financial Services,Commercial Banking,,
Bank Fees,Cash Advance,,Commercial Banking,Financial Services,Commercial Banking,,
Bank Fees,Excess Activity,,Commercial Banking,Financial Services,Commercial Banking,,
Bank Fees,Foreign Transaction,,Commercial Banking,Financial Services,Commercial Banking,,
Bank Fees,Fraud Dispute,,Commercial Banking,Financial Services,Commercial Banking,,
Bank Fees,Insufficient Funds,,Commercial Banking,Financial Services,Commercial Banking,,
Bank Fees,Late Payment,,Commercial Banking,Financial Services,Commercial Banking,,
Bank Fees,Overdraft,,Commercial Banking,Financial Services,Commercial Banking,,
Bank Fees,Wire Transfer,,Commercial Banking,Financial Services,Commercial Banking,,
Bank Fees,,,Commercial Banking,Financial Services,Commercial Banking,,
Cash Advance,,,Financial Services,Financial Services,,,
Community,Animal Shelter,,Services,Services,,,
Community,Assisted Living Services,,Retirement & Assisted Living facilities,Healthcare & Social Assistance,Social Services,Retirement & Assisted Living facilities,
Community,Assisted Living Services,Facilities and Nursing Homes,Retirement & Assisted Living facilities,Healthcare & Social Assistance,Social Services,Retirement & Assisted Living facilities,
Community,Assisted Living Services,Caretakers,Retirement & Assisted Living facilities,Healthcare & Social Assistance,Social Services,Retirement & Assisted Living facilities,
Community,Cemetery,,Services,Services,,,
Community,Courts,,Legal Services,Services,Legal Services,,
Community,Day Care and Preschools,,Childcare Services,Services,Childcare Services,,
Community,Disabled Persons Services,,Social Services,Healthcare & Social Assistance,Social Services,,
Community,Drug and Alcohol Services,,Healthcare Services,Healthcare & Social Assistance,Healthcare Services,,
Community,Education,,Educational Services,Educational Services,,,
Community,Education,Vocational Schools,Educational Services,Educational Services,,,
Community,Education,Tutoring and Educational Services,Training & Courses,Educational Services,Training & Courses,,
Community,Education,Primary and Secondary Schools,Educational Services,Educational Services,,,
Community,Education,Fraternities and Sororities,Organizations & Associations,Organizations & Associations,,,
Community,Education,Driving Schools,Training & Courses,Educational Services,Training & Courses,,
Community,Education,Dance Schools,Training & Courses,Educational Services,Training & Courses,,
Community,Education,Culinary Lessons and Schools,Training & Courses,Educational Services,Training & Courses,,
Community,Education,Computer Training,Training & Courses,Educational Services,Training & Courses,,
Community,Education,Colleges and Universities,"Colleges, Universities & Schools",Educational Services,"Colleges, Universities & Schools",,
Community,Education,Art School,"Colleges, Universities & Schools",Educational Services,"Colleges, Universities & Schools",,
Community,Education,Adult Education,"Colleges, Universities & Schools",Educational Services,"Colleges, Universities & Schools",,
Community,Government Departments and Agencies,,Public Administration,Public Administration,,,
Community,Government Lobbyists,,Public Administration,Public Administration,,,
Community,Housing Assistance and Shelters,,Community Food & Housing,Healthcare & Social Assistance,Social Services,Community Food & Housing,
Community,Law Enforcement,,Public Administration,Public Administration,,,
Community,Law Enforcement,Police Stations,Public Administration,Public Administration,,,
Community,Law Enforcement,Fire Stations,Public Administration,Public Administration,,,
