legacyCategory,legacyId,sourceCompanyName,displayName,url,logo,showHide,hideReason,parentLegacyId,desc,primarySector,secondarySector,tertiarySector,quaternarySector,quinarySector,senarySector
Food & Beverage,10001,Agilent Technologies Inc,Agilent Technologies,https://www.agilent.com/,,Category,,10001,,Industrial Goods,,,,,
Food & Beverage,10002,American Airlines Group Inc,American Airlines,http://aa.com,,Show,,10002,need to check if they own other brands,Airlines,,,,,
Food & Beverage,10003,Advance Auto Parts Inc,Advance Auto Parts,http://advanceautoparts.com,,Show,,10003,American automotive parts provider and professional automobile care. owns brands,"Automotive Parts, Accessories and Tire Stores",,,,,
Food & Beverage,10004,Apple Inc,Apple,http://apple.com,,Show,,10004,produce hardwares and have retail stores,Hardware,"Electronics, Gadgets & Accessories",Software,,,
Dining Out,15512,Beats Electronics,Beats Electronics,https://www.beatsbydre.com/,,Show,,10004,Audio electronics(headphones),"Electronics, Gadgets & Accessories",,,,,
Dining Out,15513,Claris,Claris,https://www.claris.com/,,Show,,10004,,Software,,,,,
Dining Out,15514,"Apple Energy, LLC",Apple Energy,,,Hide,cant find website,10004,Check,Energy Equipment & Services,,,,,
Dining Out,15520,Shazam,Shazam,https://www.shazam.com/,,Show,,10004,"Shazam is an application that can identify music, movies, advertising, and television shows, based on a short sample played and using the microphone on the device.",Apps,,,,,
Food & Beverage,10006,AbbVie Inc,AbbVie,http://abbvie.com,,Category,,10006,,Pharma & Biotech,,,,,
Food & Beverage,10007,AmerisourceBergen Corp,AmerisourceBergen,http://amerisourcebergen.com,,Category,,10007,,Pharma & Biotech,,,,,
Food & Beverage,10008,Abiomed Inc,Abiomed,http://abiomed.com,,Category,,10008,,Healthcare,,,,,
Food & Beverage,10009,Abbott Laboratories,Abbott Laboratories,http://abbott.com,,Show,,10009,,Medical and Diagnostics Labs,,,,,
Food & Beverage,10010,ACADIA Pharmaceuticals Inc.,ACADIA Pharmaceuticals,https://www.acadia-pharm.com/,,Category,,10010,,Pharma & Biotech,,,,,
Food & Beverage,10011,American Campus Communities Inc,American Campus Communities,http://americancampus.com,,Category,,10011,,Real Estate & Renting,,,,,
Food & Beverage,10012,Arch Capital Group Ltd,Arch Capital Group,http://archcapgroup.com,,Show,,10012,Reinsurance carriers,Insurance Carriers,,,,,
Food & Beverage,10013,Acadia Healthcare Co Inc,Acadia Healthcare,http://acadiahealthcare.com,,Category,,10013,,Healthcare Services,,,,,
Food & Beverage,10014,AECOM,AECOM,http://aecom.com,,Category,,10014,,Industrial Goods,,,,,
Food & Beverage,10015,Accenture PLC,Accenture,http://accenture.com,,Show,,10015,Digital consulting,IT & Business Consulting,,,,,
Food & Beverage,10016,Adobe Inc,Adobe,http://adobe.com,,Show,,10016,produce software technology for computers,Software,,,,,
Food & Beverage,10017,Analog Devices Inc,Analog Devices,http://analog.com,,Category,,10017,,Semiconductors & Equipment,,,,,
Food & Beverage,10018,Archer-Daniels-Midland Company,Archer-Daniels-Midland Company,http://adm.com,,Category,,10018,,Food & Beverage,,,,,
