"userId","merchantFrequencies"
"621b99235f87e75f53659b40","[{""company"":""HP"",""frequency"":27},{""company"":""Sam's Club"",""frequency"":8},{""company"":""Costco"",""frequency"":1},{""company"":""Old Navy"",""frequency"":1},{""company"":""Walgreens Co."",""frequency"":24},{""company"":""Walmart"",""frequency"":32},{""company"":""CVS Pharmacy"",""frequency"":3},{""company"":""GrubHub"",""frequency"":1}]"
"621b99235f87e75f53659b44","[{""company"":""GrubHub"",""frequency"":8},{""company"":""Athletic Greens"",""frequency"":1},{""company"":""Food Lion"",""frequency"":6},{""company"":""Panera Bread"",""frequency"":1},{""company"":""Best Buy"",""frequency"":2},{""company"":""Walgreens Co."",""frequency"":32},{""company"":""Southwest Airlines Co."",""frequency"":1},{""company"":""CVS Pharmacy"",""frequency"":1},{""company"":""Walmart"",""frequency"":2}]"
"621b99235f87e75f53659b49","[{""company"":""Nordstrom"",""frequency"":3},{""company"":""Sonos"",""frequency"":1},{""company"":""Dick's Sporting Goods"",""frequency"":7},{""company"":""H&M"",""frequency"":43},{""company"":""asos"",""frequency"":1},{""company"":""Macy's Inc."",""frequency"":9},{""company"":""Rack Room Shoes"",""frequency"":1},{""company"":""Glossier"",""frequency"":3},{""company"":""Verizon Communications"",""frequency"":1},{""company"":""Under Armour"",""frequency"":2},{""company"":""Walmart"",""frequency"":25},{""company"":""Nike"",""frequency"":30},{""company"":""CVS Pharmacy"",""frequency"":1},{""company"":""GrubHub"",""frequency"":4},{""company"":""Microsoft"",""frequency"":15},{""company"":""Old Navy"",""frequency"":4},{""company"":""Best Buy"",""frequency"":7},{""company"":""Panera Bread"",""frequency"":7},{""company"":""Staples"",""frequency"":1},{""company"":""Food Lion"",""frequency"":79},{""company"":""Costco"",""frequency"":30},{""company"":""Groupon Inc."",""frequency"":1},{""company"":""Walgreens Co."",""frequency"":32}]"
"621b99235f87e75f53659b4e","[{""company"":""Paramount+"",""frequency"":2},{""company"":""AT&T"",""frequency"":12},{""company"":""Best Buy"",""frequency"":1},{""company"":""Biossance"",""frequency"":1},{""company"":""Old Navy"",""frequency"":9},{""company"":""Meta"",""frequency"":1},{""company"":""Walgreens Co."",""frequency"":1},{""company"":""Southwest Airlines Co."",""frequency"":33},{""company"":""Panera Bread"",""frequency"":1}]"
"621b99235f87e75f53659b57","[{""company"":""Dick's Sporting Goods"",""frequency"":2},{""company"":""Food Lion"",""frequency"":2},{""company"":""Best Buy"",""frequency"":2},{""company"":""Panera Bread"",""frequency"":1},{""company"":""Costco"",""frequency"":2},{""company"":""Ruggable"",""frequency"":2},{""company"":""Madewell"",""frequency"":1},{""company"":""Walgreens Co."",""frequency"":1},{""company"":""CVS Pharmacy"",""frequency"":9},{""company"":""Old Navy"",""frequency"":3},{""company"":""GrubHub"",""frequency"":1}]"
"621b99235f87e75f53659b5b","[{""company"":""Sam's Club"",""frequency"":2},{""company"":""Kohl's"",""frequency"":1},{""company"":""Walgreens Co."",""frequency"":6},{""company"":""Sephora"",""frequency"":1},{""company"":""Best Buy"",""frequency"":29},{""company"":""Panera Bread"",""frequency"":2},{""company"":""Costco"",""frequency"":12},{""company"":""Food Lion"",""frequency"":8},{""company"":""TransUnion"",""frequency"":1},{""company"":""Groupon Inc."",""frequency"":1},{""company"":""GrubHub"",""frequency"":1},{""company"":""HP"",""frequency"":28},{""company"":""CVS Pharmacy"",""frequency"":15},{""company"":""Staples"",""frequency"":3},{""company"":""Walmart"",""frequency"":11},{""company"":""Microsoft"",""frequency"":1},{""company"":""Verizon Communications"",""frequency"":18}]"
"621b99235f87e75f53659b5f","[{""company"":""West Paw"",""frequency"":1},{""company"":""Whistles"",""frequency"":2},{""company"":""Groupon Inc."",""frequency"":2},{""company"":""H&M"",""frequency"":2},{""company"":""Panera Bread"",""frequency"":1},{""company"":""Expedia"",""frequency"":5},{""company"":""Old Navy"",""frequency"":5},{""company"":""Walgreens Co."",""frequency"":4},{""company"":""CVS Pharmacy"",""frequency"":8},{""company"":""Walmart"",""frequency"":26},{""company"":""Office Depot"",""frequency"":1}]"
"621b99235f87e75f53659b64","[{""company"":""Nordstrom"",""frequency"":9},{""company"":""Panera Bread"",""frequency"":1},{""company"":""Athleta"",""frequency"":1},{""company"":""NOVICA"",""frequency"":1},{""company"":""Southwest Airlines Co."",""frequency"":2},{""company"":""Lands End"",""frequency"":1}]"
"621b99235f87e75f53659b68","[{""company"":""Yankee Candle"",""frequency"":1},{""company"":""CVS Pharmacy"",""frequency"":4},{""company"":""Macy's Inc."",""frequency"":1},{""company"":""Best Buy"",""frequency"":1},{""company"":""Sephora"",""frequency"":1},{""company"":""Walgreens Co."",""frequency"":2},{""company"":""Walmart"",""frequency"":3},{""company"":""Clinique"",""frequency"":2}]"
"621b99235f87e75f53659b6c","[{""company"":""Sam's Club"",""frequency"":6},{""company"":""Extended Stay America"",""frequency"":1},{""company"":""Macy's Inc."",""frequency"":1},{""company"":""Reebok"",""frequency"":1},{""company"":""Costco"",""frequency"":5},{""company"":""Best Buy"",""frequency"":2},{""company"":""Sephora"",""frequency"":3},{""company"":""Vans"",""frequency"":2},{""company"":""Walmart"",""frequency"":23},{""company"":""CVS Pharmacy"",""frequency"":1}]"
"621b99235f87e75f53659b74","[{""company"":""Walmart"",""frequency"":5},{""company"":""Sam's Club"",""frequency"":9},{""company"":""Rack Room Shoes"",""frequency"":3},{""company"":""Office Depot"",""frequency"":2},{""company"":""Athleta"",""frequency"":8},{""company"":""Food Lion"",""frequency"":3},{""company"":""Best Buy"",""frequency"":1},{""company"":""Panera Bread"",""frequency"":2},{""company"":""Blue Apron"",""frequency"":6},{""company"":""AT&T"",""frequency"":2},{""company"":""Beautycounter"",""frequency"":2},{""company"":""Kohl's"",""frequency"":1},{""company"":""Walgreens Co."",""frequency"":8},{""company"":""GrubHub"",""frequency"":1}]"
"621b99235f87e75f53659b7c","[{""company"":""CVS Pharmacy"",""frequency"":8},{""company"":""Walgreens Co."",""frequency"":4},{""company"":""BJs Wholesale Club"",""frequency"":13},{""company"":""ALDO"",""frequency"":2},{""company"":""Macy's Inc."",""frequency"":2},{""company"":""Panera Bread"",""frequency"":8},{""company"":""Walmart"",""frequency"":30}]"
"621b99235f87e75f53659b84","[{""company"":""Walmart"",""frequency"":1},{""company"":""CVS Pharmacy"",""frequency"":8},{""company"":""Nike"",""frequency"":1},{""company"":""Best Buy"",""frequency"":2},{""company"":""H&M"",""frequency"":3},{""company"":""Costco"",""frequency"":13},{""company"":""Famous Footwear"",""frequency"":1},{""company"":""Walgreens Co."",""frequency"":2},{""company"":""Sephora"",""frequency"":1},{""company"":""BJs Wholesale Club"",""frequency"":1}]"
"621b99235f87e75f53659b88","[{""company"":""CVS Pharmacy"",""frequency"":5},{""company"":""H&M"",""frequency"":1},{""company"":""Nike"",""frequency"":1},{""company"":""BJs Wholesale Club"",""frequency"":5},{""company"":""GrubHub"",""frequency"":1},{""company"":""Costco"",""frequency"":6}]"
"621b99235f87e75f53659b8c","[{""company"":""Hertz Global Holdings Inc."",""frequency"":6},{""company"":""Dick's Sporting Goods"",""frequency"":1},{""company"":""Panera Bread"",""frequency"":10},{""company"":""Best Buy"",""frequency"":3},{""company"":""Old Navy"",""frequency"":4},{""company"":""Microsoft"",""frequency"":1},{""company"":""Walgreens Co."",""frequency"":1},{""company"":""CVS Pharmacy"",""frequency"":9},{""company"":""Walmart"",""frequency"":6}]"
