"id","name","score"
"62192d3cf022c9e3fbfe3ce9","Axon Enterprise, Inc.",-11
"62192d3cf022c9e3fbfe3ced","Advance Auto Parts",-8.5
"62192d3cf022c9e3fbfe3cf1","Akamai",-5.5
"62192d3cf022c9e3fbfe3cf5","American Airlines",-5
"62192d3cf022c9e3fbfe3cf9","Adobe",0.5
"62192d3cf022c9e3fbfe3cfd","Arista Networks, Inc.",-10.5
"62192d3cf022c9e3fbfe3d01","Arthur J. Gallagher & Co",-11
"62192d3cf022c9e3fbfe3d05","Avangrid",2
"62192d3cf022c9e3fbfe3d09","Alliance Data Systems",-10.5
"62192d3cf022c9e3fbfe3d0d","Ally Financial",-6
"62192d3cf022c9e3fbfe3d11","Assurant",-6
"62192d3cf022c9e3fbfe3d15","Arch Capital Group",-4.5
"62192d3cf022c9e3fbfe3d19","Air Lease",-12.5
"62192d3cf022c9e3fbfe3d1d","Accenture",4.5
"62192d3cf022c9e3fbfe3d21","Autodesk",-5.5
"62192d3cf022c9e3fbfe3d25","Ameren",-3
"62192d3cf022c9e3fbfe3d29","Abbott Laboratories",3.5
"62192d3cf022c9e3fbfe3d2d","ACADIA Pharmaceuticals",0
"62192d3cf022c9e3fbfe3d31","AECOM",-8.5
"62192d3cf022c9e3fbfe3d35","Aflacrporated",-0.5
"62192d3df022c9e3fbfe3d39","ADT",-9
"62192d3df022c9e3fbfe3d3d","American Electric Power",-3
"62192d3df022c9e3fbfe3d41","AutoNation",-10
"62192d3df022c9e3fbfe3d45","Ares Management Corporation",-12
"62192d3df022c9e3fbfe3d49","Associated Bank",0
"62192d3df022c9e3fbfe3d4d","Aramark Holdings",-10
"62192d3df022c9e3fbfe3d51","Altice USA",-15
"62192d3df022c9e3fbfe3d55","Apache",-8
"62192d3df022c9e3fbfe3d59","AES",-3
"62192d3df022c9e3fbfe3d5d","Allstate",-1.5
"62192d3df022c9e3fbfe3d61","Apple",7.5
"62192d3df022c9e3fbfe3d65","Anthem",3.5
"62192d3df022c9e3fbfe3d69","Activision Blizzard",-13
"62192d3df022c9e3fbfe3d6d","Automatic Data Processing",-8
"62192d3df022c9e3fbfe3d71","Atmos Energy",-11
"62192d3df022c9e3fbfe3d75","Alaska Air",-8.5
"62192d3df022c9e3fbfe3d79","AutoZone",-10
"62192d3df022c9e3fbfe3d7d","Ameriprise Financial",-5
"62192d3df022c9e3fbfe3d81","Amazon",0
"62192d3df022c9e3fbfe3d85","Assured Guaranty",-5.5
"62192d3df022c9e3fbfe3d89","American International Group",-5
"62192d3df022c9e3fbfe3d8d","American Express",-1
"62192d3df022c9e3fbfe3d91","Alteryx",-11
"62192d3df022c9e3fbfe3d95","Avantor",-11.5
"62192d3df022c9e3fbfe3d99","AMG",-6.5
"62192d3df022c9e3fbfe3d9d","BNY Mellon",0
"62192d3df022c9e3fbfe3da1","Booz Allen Hamilton Holding",-1.5
"62192d3df022c9e3fbfe3da5","American Financial Group",-15
"62192d3df022c9e3fbfe3da9","Bill.com",-11
"62192d3df022c9e3fbfe3dad","Avalara, Inc.",-12.5
"62192d3df022c9e3fbfe3db1","CACI International",-9.5
"62192d3df022c9e3fbfe3db5","Bright Horizons Family Solutions",-11.5
"62192d3df022c9e3fbfe3db9","American Water",-5
"62192d3df022c9e3fbfe3dbd","AptarGroup",-4
"62192d3df022c9e3fbfe3dc1","Brighthouse Financial",-9.5
"62192d3ef022c9e3fbfe3dc5","Burlington Stores",-9.5
"62192d3ef022c9e3fbfe3dc9","Booking Holdings",-9
"62192d3ef022c9e3fbfe3dcd","Beyond Meat",-12.5
"62192d3ef022c9e3fbfe3dd1","American National Group",0
