companyName,updateExisting,existingCompanyIdToUpdate,url,logo,hiddenStatus,hiddenReason,notes,primary,secondary,tertiary,quaternary,quinary,senary
Green Boy Group,TRUE,621b99a45f87e75f5365e611,http://www.greenboy.com/?utm_source=plantbasedfoods,https://www.theproteincluster.com/wp-content/uploads/2021/06/green-boy-group.png,FALSE,,,621b9ada5f87e75f53666faa,,,,,
Browne Accounting SPC,TRUE,624c697e1ccf825229d25057,www.browneaccounting.com,https://media-exp1.licdn.com/dms/image/C4E1BAQFfn-dkCDERkQ/company-background_10000/0/1544152331866?e=2147483647&v=beta&t=GwLmIRICrtfquoNHCX0gpzqAIzSF1a4f632Cb46Q_Ys,FALSE,,Accounting services,621b9ada5f87e75f53666f98,,,,,
Bicycle Adventures,TRUE,621b99a35f87e75f5365e5a5,https://bicycleadventures.com/,,FALSE,,,621b9ada5f87e75f53666f64,621b9ada5f87e75f53666f5c,,,,
Panera Bread,TRUE,621b99f25f87e75f53661391,https://www.panerabread.com/en-us/home.html?utm_medium=cpc&utm_source=google&utm_campaign=Gold-US-BR-Exact&utm_content=Gold&utm_term=panera%20bread&ef_id=Cj0KCQjwuMuRBhCJARIsAHXdnqMJY16AO6dn0GBq_DO3thnnq8kTCq2COEmLXo02x_WRTRJXL80JVRYaAo2UEALw_wcB%3AG%3As&s_kwcid=AL%2115596%213%21571026628469%21e%21%21g%21%21panera%20bread%2115575744796%21135004065510&gclid=Cj0KCQjwuMuRBhCJARIsAHXdnqMJY16AO6dn0GBq_DO3thnnq8kTCq2COEmLXo02x_WRTRJXL80JVRYaAo2UEALw_wcB,https://www.janssmarketplace.com/wp-content/uploads/2018/06/panera-bread-logo.jpg,FALSE,,Restaurant,621b9ada5f87e75f53666f90,,,,,
Synergy Products,TRUE,621b99a55f87e75f5365e6a9,www.boonboo.com,https://assets-global.website-files.com/5f0c587ab32ca0e3d7078a8c/607f308c52bb76884f66018e_607e1a6bb612d11f9642d81f_Boonboo_logo.png,FALSE,,Personal and Dental Care Bamboo Products,621b9adb5f87e75f53667038,621b9adb5f87e75f5366703c,,,,
Boma Jewelry,TRUE,621b99a35f87e75f5365e571,www.bomajewelry.com,https://cdn.shopify.com/s/files/1/0043/8455/5121/files/Boma-Jewelry-Logo_600x.jpg?v=1642054081,FALSE,,Jewelers,621b9ada5f87e75f53666f48,,,,,
Le Sommet Coffee,TRUE,621b997c5f87e75f5365ceb9,https://www.facebook.com/lesommetcoffee/,,FALSE,,,621b9ada5f87e75f53666f86,,,,,
Ophora Water,TRUE,621b997d5f87e75f5365cf39,https://ophorawater.com/,,FALSE,,,621b9ada5f87e75f53666fb8,,,,,
The Earthling Co.,TRUE,621b997e5f87e75f5365cffd,https://theearthlingco.com/,,FALSE,,,621b9adb5f87e75f5366703e,,,,,
"SWZLE, L3C",TRUE,621b997f5f87e75f5365d069,https://swzle.com/,,FALSE,,Reusuable straw,621b9adb5f87e75f53667076,,,,,
Birch Living,TRUE,621b99815f87e75f5365d161,https://birchliving.com/,,FALSE,,,621b9adb5f87e75f53666fe0,,,,,
Nourish Organic,TRUE,621b99825f87e75f5365d241,https://www.nourishorganic.com/,,FALSE,,,621b9adb5f87e75f5366703c,,,,,
Cleaning Essentials,TRUE,621b99845f87e75f5365d32d,http://cleaningessentials.com/,,TRUE,whole sector is hidden,Eco friendly cleaning supplies,621b9adb5f87e75f53667008,,,,,
Sustain LA,TRUE,621b99865f87e75f5365d44d,http://www.sustainla.com/,,FALSE,,,621b9adb5f87e75f53667070,621b9adb5f87e75f53667076,,,,
Lullaby Earth,TRUE,621b998d5f87e75f5365d87d,https://www.lullabyearth.com/,,FALSE,,Baby crib,621b9adb5f87e75f5366705e,,,,,
Waste-Free Earth,TRUE,621b998f5f87e75f5365d9ad,http://www.wastefree.earth/,,FALSE,,Zero Waste Consulting service,621b9adb5f87e75f536670a0,,,,,
Khordz,TRUE,621b99985f87e75f5365def9,https://khordz.com/,,FALSE,,Reusable straws and bottles,621b9adb5f87e75f53667076,,,,,
Del Pacifico Wild Caught Seafoods,TRUE,621b999f5f87e75f5365e301,https://www.delpacificoseafoods.com/,,FALSE,,,621b9ada5f87e75f53666fc2,,,,,
Signature Coffee,TRUE,621b99a45f87e75f5365e629,https://signaturecoffeecompany.com/password,,FALSE,,,621b9ada5f87e75f53666fae,,,,,
Made Trade,TRUE,621b99aa5f87e75f5365e98d,https://www.madetrade.com/,,FALSE,,,621b9adb5f87e75f53666fe0,621b9adb5f87e75f53666fe4,,,,
Kefla,TRUE,621b99ad5f87e75f5365eafd,http://www.keflaorganics.com/,,FALSE,,,621b9ada5f87e75f53666fc4,,,,,
Phlur,TRUE,621b99995f87e75f5365dfcd,https://phlur.com/,,FALSE,,,621b9adb5f87e75f5366703a,,,,,
7 For All Mankind,,,https://www.7forallmankind.com/,https://www.chicmoey.com/wp-content/uploads/2020/05/7-For-All-Mankind-Cyber-Monday-1.png,FALSE,,"owned by delta galil, denim, expensive",621b9ada5f87e75f53666f3a,,,,,
Abercrombie & Fitch,,,https://www.abercrombie.com/shop/us,https://static.wikia.nocookie.net/logopedia/images/c/c5/Abercrombie_%26_Fitch_logo_%28stacked%29.png/revision/latest?cb=20200814160250,FALSE,,,621b9ada5f87e75f53666f3e,621b9ada5f87e75f53666f40,,,,
American Eagle Outfitters,,,https://www.ae.com/us/en,https://iqm7l1pa7bn3d42rc278rat5-wpengine.netdna-ssl.com/wp-content/uploads/2018/07/customer_american-eagle-outfitters.png,FALSE,,,621b9ada5f87e75f53666f3e,,,,,
Threadfast Apparel,,,https://threadfast.com/pages/we-are-threadfast,https://cdn.shopify.com/s/files/1/0678/1693/files/Threadfast_Mains-01.png?height=628&pad_color=fff&v=1584995755&width=1200,FALSE,,,621b9ada5f87e75f53666f3e,,,,,
Deckers Outdoor,,,https://www.deckers.com/,https://shop-eat-surf.com/wp-content/uploads/2020/02/Deckers-brands-logo-resized-1080x675.jpg,FALSE,,Owns multiple shoe brands,621b9adb5f87e75f53667006,,,,,
DXL Group,,,https://www.dxl.com/,,FALSE,,,621b9ada5f87e75f53666f3e,,,,,
Five Star Apparel,,,http://fivestarapparelny.com/,,FALSE,,,621b9ada5f87e75f53666f3e,,,,,
Flexfit,,,https://www.flexfit.com/,https://printtheoryco.com/wp-content/uploads/2014/11/flexfit.jpg,FALSE,,Hats,621b9ada5f87e75f53666f46,,,,,
Gerber Childrenswear,,,https://www.gerberchildrenswear.com/,https://cdn.lovesavingsgroup.com/logos/gerber-childrenswear.png,FALSE,,,621b9ada5f87e75f53666f40,,,,,
Guess,,,https://www.guess.com/us/en/home/,https://1000logos.net/wp-content/uploads/2017/02/GUESS-Logo.png,FALSE,,,621b9ada5f87e75f53666f3e,,,,,
J Crew Group Inc.,,,https://www.jcrew.com,https://cdn.freelogovectors.net/wp-content/uploads/2020/02/jcrew-logo.png,FALSE,,,621b9ada5f87e75f53666f3e,,,,,
"Jockey International, Inc.",,,https://www.jockey.com,https://cdn.freebiesupply.com/logos/large/2x/jockey-logo-black-and-white.png,FALSE,,,621b9ada5f87e75f53666f42,,,,,
Kontoor Brands,,,https://www.kontoorbrands.com/,https://mms.businesswire.com/media/20201029005311/en/834454/23/Kontoor_Brands_Logos_%2811.12.19%29_2_KTB_BRAND_LOGOS_Slogan-tag-RGB_purple.jpg,FALSE,,owns brands,621b9adb5f87e75f53667006,,,,,
