action,type,original,companyId,companyName
ADD,MANUAL,Adobe Inc,621b99305f87e75f5365a261,
ADD,FALSE_POSITIVE,Call App,,
ADD,FALSE_POSITIVE,Cbs Mobile App,,
ADD,FALSE_POSITIVE,David Ray Byrn,,
ADD,FALSE_POSITIVE,Echo Wall LLC,,
ADD,FALSE_POSITIVE,Game House,,
ADD,FALSE_POSITIVE,Hfg Product,,
ADD,FALSE_POSITIVE,Inspired Square,,
ADD,FALSE_POSITIVE,Jacob Hamersly,,
ADD,FALSE_POSITIVE,Melsoft,,
ADD,MANUAL,Microsoft Apps,621b99375f87e75f5365a661,
ADD,FALSE_POSITIVE,Miniclip,,
ADD,FALSE_POSITIVE,Robokiller,,
ADD,FALSE_POSITIVE,Royal Match,,
ADD,FALSE_POSITIVE,Samfinaco,,
ADD,FALSE_POSITIVE,Say Games,,
ADD,FALSE_POSITIVE,Shabunia,,
ADD,FALSE_POSITIVE,Shanil Singh,,
ADD,FALSE_POSITIVE,Playrix Games,,
ADD,FALSE_POSITIVE,Snapchat,,
ADD,FALSE_POSITIVE,Social Impact,,
ADD,FALSE_POSITIVE,Talkatone,,
ADD,FALSE_POSITIVE,Tango Me,,
ADD,FALSE_POSITIVE,Thi Bui Lam,,
ADD,FALSE_POSITIVE,Tik Tok Live,,
ADD,FALSE_POSITIVE,Vulcan Products,,
ADD,FALSE_POSITIVE,Webelinx Games,,
ADD,FALSE_POSITIVE,Wondershare,,
ADD,FALSE_POSITIVE,Yang Jun,,
REMOVE,MANUAL,Shaws,621b99eb5f87e75f53660f31,Shaws of Darwen
REMOVE,MANUAL,Spectrum,621b993a5f87e75f5365a861,Spectrum Brands Holdings
ADD,MANUAL,Hotels.com,621b99335f87e75f5365a459,
ADD,FALSE_POSITIVE,Zip,,
ADD,FALSE_POSITIVE,321 COFFEE,,
ADD,FALSE_POSITIVE,CLEAR,,
ADD,FALSE_POSITIVE,2303code 4029357733,,
ADD,FALSE_POSITIVE,2643code,,
ADD,FALSE_POSITIVE,3945CODE,,
ADD,FALSE_POSITIVE,6296CODE,,
ADD,FALSE_POSITIVE,Food52,,
ADD,FALSE_POSITIVE,POS Debit - Visa Check Card 6323 - PREMIERE CE PREMIERECE.COWA,,
ADD,FALSE_POSITIVE,UNIT,,
ADD,FALSE_POSITIVE,Unit,,
ADD,FALSE_POSITIVE,Hotels,,
ADD,FALSE_POSITIVE,Group,,
ADD,FALSE_POSITIVE,Zip Co,,
ADD,FALSE_POSITIVE,AIG,,
ADD,FALSE_POSITIVE,Aloha,,
ADD,FALSE_POSITIVE,New York City,,
ADD,FALSE_POSITIVE,Alt R,,
ADD,FALSE_POSITIVE,Always,,
ADD,FALSE_POSITIVE,Atrius,,
ADD,FALSE_POSITIVE,Avant,,
ADD,FALSE_POSITIVE,Avant LLC,,
ADD,FALSE_POSITIVE,Avenue,,
ADD,FALSE_POSITIVE,Big Red,,
ADD,FALSE_POSITIVE,Blackrock,,
ADD,FALSE_POSITIVE,Bold LLC,,
ADD,FALSE_POSITIVE,Kernville,,
ADD,FALSE_POSITIVE,Chocolate,,
ADD,FALSE_POSITIVE,Clear,,
ADD,FALSE_POSITIVE,Crypto,,
ADD,FALSE_POSITIVE,Crypto Company,,
ADD,FALSE_POSITIVE,Crypto.com,,
ADD,MANUAL,Delta,621b99325f87e75f5365a371,
ADD,FALSE_POSITIVE,East Bay,,
ADD,FALSE_POSITIVE,Hotelscom,,
ADD,FALSE_POSITIVE,Food Corp,,
ADD,FALSE_POSITIVE,Graham,,
ADD,FALSE_POSITIVE,Grain,,
ADD,FALSE_POSITIVE,Harbor,,
ADD,FALSE_POSITIVE,Harman,,
ADD,FALSE_POSITIVE,Honey,,
ADD,FALSE_POSITIVE,Hurricane,,
ADD,FALSE_POSITIVE,59 Liquor,,
ADD,FALSE_POSITIVE,Liquors LLC,,
ADD,FALSE_POSITIVE,Lobster,,
ADD,FALSE_POSITIVE,Mega Limited,,
ADD,FALSE_POSITIVE,Organics,,
ADD,FALSE_POSITIVE,Pavilion,,
ADD,FALSE_POSITIVE,Princess,,
ADD,FALSE_POSITIVE,Proof,,
ADD,FALSE_POSITIVE,Public,,
ADD,FALSE_POSITIVE,Public Ny,,
ADD,FALSE_POSITIVE,Rocket,,
ADD,FALSE_POSITIVE,Sleep Inc.,,
ADD,FALSE_POSITIVE,The Store,,
ADD,FALSE_POSITIVE,The Ice Cream,,
ADD,FALSE_POSITIVE,The Bu,,
ADD,FALSE_POSITIVE,Vitamin,,
ADD,FALSE_POSITIVE,Whistle,,
ADD,FALSE_POSITIVE,Marsh,,
ADD,MANUAL,Apple Com,621b992e5f87e75f5365a19d,
ADD,MANUAL,Caseys,621b99305f87e75f5365a2b1,
ADD,MANUAL,Caseys La,621b99305f87e75f5365a2b1,
ADD,MANUAL,Caseys Store,621b99305f87e75f5365a2b1,
ADD,MANUAL,Apple.combi,621b992e5f87e75f5365a19d,
ADD,MANUAL,A Eagle Out,62deed637b212526d1e0101b,
ADD,MANUAL,A Eagle,62deed637b212526d1e0101b,
ADD,MANUAL,A Eagle Outfitter,62deed637b212526d1e0101b,
ADD,MANUAL,American Eagel,62deed637b212526d1e0101b,
ADD,MANUAL,American Eagle,62deed637b212526d1e0101b,
ADD,MANUAL,Ae Outfitters Retail Co,62deed637b212526d1e0101b,
ADD,MANUAL,Ae Retail West LLC,62deed637b212526d1e0101b,
ADD,MANUAL,American Eagle Outfit,62deed637b212526d1e0101b,
ADD,MANUAL,Aritzia Century,62def2247b212526d1e0767b,
ADD,MANUAL,Aritzia Greenwich,62def2247b212526d1e0767b,
ADD,MANUAL,Aritzia Soho,62def2247b212526d1e0767b,
ADD,MANUAL,Aritzia The Domain,62def2247b212526d1e0767b,
ADD,MANUAL,Aritzia Westchester,62def2247b212526d1e0767b,
ADD,MANUAL,Asoscomltd,62deef3e7b212526d1e043bc,
ADD,MANUAL,Athleta Online,621b994a5f87e75f5365b139,
ADD,MANUAL,Athleta Us,621b994a5f87e75f5365b139,
ADD,MANUAL,Bananarepublic Us,621b99b35f87e75f5365eecd,
ADD,MANUAL,Bath & Body Wo,621b99b75f87e75f5365f12d,
ADD,MANUAL,Bath And Body,621b99b75f87e75f5365f12d,
ADD,MANUAL,Bath And Body W,621b99b75f87e75f5365f12d,
ADD,MANUAL,Bathandbodyworks,621b99b75f87e75f5365f12d,
ADD,MANUAL,Victorias Secret And C,621b99b75f87e75f5365f135,
ADD,MANUAL,ULTA,621b993b5f87e75f5365a919,
ADD,MANUAL,Peacock Tv LLC,621b99b15f87e75f5365eda5,
ADD,MANUAL,Instant Ink,621b99355f87e75f5365a529,
ADD,MANUAL,T-Mobile,621b993b5f87e75f5365a8a1,
ADD,MANUAL,Disney Mobile,621b99325f87e75f5365a3ad,
ADD,MANUAL,Coach Outlet,621b99bd5f87e75f5365f48d,
ADD,MANUAL,Coach Usa Inc,621b99bd5f87e75f5365f48d,
ADD,MANUAL,Coachoutlet,621b99bd5f87e75f5365f48d,
ADD,MANUAL,Converse Us,621b99b95f87e75f5365f1fd,
ADD,MANUAL,Cos Stores,621b99c15f87e75f5365f6b9,
ADD,MANUAL,Tjmaxx,621b993b5f87e75f5365a89d,
ADD,MANUAL,T.j. Maxx,621b993b5f87e75f5365a89d,
ADD,MANUAL,T J Maxx,621b993b5f87e75f5365a89d,
ADD,MANUAL,Victoria's,621b99b75f87e75f5365f135,
ADD,MANUAL,Domino,621b99325f87e75f5365a3c1,
ADD,MANUAL,Domino's,621b99325f87e75f5365a3c1,
ADD,MANUAL,Foot Locker,621b99345f87e75f5365a489,
