"companyName","companyId","dataSourceName","dataSourceId","status"
"Altria Group","621b99375f87e75f5365a65d","A List CDP - Climate Change","629bd91f27ab53e0fa4e5987",1
"Altria Group","621b99375f87e75f5365a65d","A List CDP - Forests","629bd91f27ab53e0fa4e598d",1
"Tiffany & Co.","621b993b5f87e75f5365a899","Responsible Jewellery Council","629bd91f27ab53e0fa4e59ab",1
"Kevue.com","621b993f5f87e75f5365aadd","1% For The Planet","629bd92027ab53e0fa4e59d8",1
"LOACOM","621b99465f87e75f5365af41","1% For The Planet","629bd92027ab53e0fa4e59d8",1
"Sun & Swell Foods","621b99495f87e75f5365b0b1","1% For The Planet","629bd92027ab53e0fa4e59d8",1
"Superior Switchel Company","621b99495f87e75f5365b0b5","Women Owned Directory","629bd91f27ab53e0fa4e59b4",1
"Ever Better, PBC","621b99495f87e75f5365b0bd","1% For The Planet","629bd92027ab53e0fa4e59d8",1
"Mutu Coffee Roasters","621b994a5f87e75f5365b169","1% For The Planet","629bd92027ab53e0fa4e59d8",1
"Business Performance Improvement","621b994a5f87e75f5365b1bd","1% For The Planet","629bd92027ab53e0fa4e59d8",1
"Apostrophe","621b994c5f87e75f5365b2a5","1% For The Planet","629bd92027ab53e0fa4e59d8",1
"KEEL Creative","621b994c5f87e75f5365b2c1","1% For The Planet","629bd92027ab53e0fa4e59d8",1
"Inspiring Capital","621b99595f87e75f5365ba19","1% For The Planet","629bd92027ab53e0fa4e59d8",1
"KAMMOK","621b995c5f87e75f5365bbbd","1% For The Planet","629bd92027ab53e0fa4e59d8",1
"LEAP Organics","621b995d5f87e75f5365bc69","1% For The Planet","629bd92027ab53e0fa4e59d8",1
"Essity","621b99695f87e75f5365c3cd","A List CDP - Water Security","629bd91f27ab53e0fa4e598a",1
"Lenzing AG","621b996a5f87e75f5365c3d5","A List CDP - Water Security","629bd91f27ab53e0fa4e598a",1
"Lenzing AG","621b996a5f87e75f5365c3d5","A List CDP - Forests","629bd91f27ab53e0fa4e598d",1
"Lenzing AG","621b996a5f87e75f5365c3d5","A List CDP - Climate Change","629bd91f27ab53e0fa4e5987",1
