ticker,legacyId,companyName,justCapital_metric_Workforce Demographics,justCapital_metric_Health and Safety Policies,justCapital_metric_Local Employment Pipeline,justCapital_metric_Worker Benefits Package,justCapital_metric_Human Rights Reporting,justCapital_metric_Labor & Human Rights Commitment,justCapital_metric_Work-Life Balance,justCapital_metric_Actions to Support Human Rights Commitment,justCapital_metric_Supplier Requirements on Labor & Human Rights,justCapital_metric_Opportunities for Local Businesses,justCapital_metric_Human Rights Supply Chain Safeguards,justCapital_metric_Local School Support,justCapital_metric_Related Party Transactions,justCapital_metric_Board Diversity,justCapital_metric_SEC Filings Review,justCapital_metric_Commitment to Following Laws & Regulations,justCapital_metric_Privacy Policies,justCapital_metric_Sustainable Products and Services,justCapital_metric_Local Community Engagement,justCapital_metric_Scope 1 Plus 2 Greenhouse Gas Emissions,justCapital_metric_Renewable Energy Percentage_0.5,justCapital_metric_Renewable Energy Percentage_1,"justCapital_metric_Diversity, Equity, and Inclusion Policies",justCapital_metric_Transparent Charitable Giving,justCapital_metric_Resource Use,justCapital_metric_Climate Commitments
DECK,18719,Deckers Outdoor Corporation,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,,1,1,0,0
MOS,10547,The Mosaic Company,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,,1,1,0,1
WMB,10891,"The Williams Company, Inc.",0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,,0,1,0,1
CSGP,10212,CoStar Group Inc,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,,0,0,0,0
UA,16376,Under Armour,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,,1,0,0,1
UPS,10847,"United Parcel Service, Inc.",1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,,1,1,0,1
GGG,10350,Graco Inc,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,,0,1,0,1
BBWI,10480,"L Brands, Inc.",0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,,0,0,0,0
BK,12789,BNY Mellon,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,,1,1,1,0,1
CZR,12682,Caesars Entertainment,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,,1,1,0,1
