name,url,notes,,,No Poverty,_1_1,_1_2,_1_3,_1_4,_1_5,_1_a,_1_b,Zero Hunger,_2_1,_2_2,_2_3,_2_4,_2_5,_2_a,_2_b,_2_c,Good Health and Well-Being,_3_1,_3_2,_3_3,_3_4,_3_5,_3_6,_3_7,_3_8,_3_9,_3_a,_3_b,_3_c,_3_d,Quality Education,_4_1,_4_2,_4_3,_4_4,_4_5,_4_6,_4_7,_4_a,_4_b,_4_c,Gender Equality,_5_1,_5_2,_5_3,_5_4,_5_5,_5_6,_5_a,_5_b,_5_c,Clean Water and Sanitation,_6_1,_6_2,_6_3,_6_4,_6_5,_6_6,_6_a,_6_b,Affordable and Clean Energy,_7_1,_7_2,_7_3,_7_a,_7_b,Decent Work and Economic Growth,_8_1,_8_2,_8_3,_8_4,_8_5,_8_6,_8_7,_8_8,_8_9,_8_1,_8_a,_8_b,"Industry, Innovation and Infrastructure",_9_1,_9_2,_9_3,_9_4,_9_5,_9_a,_9_b,_9_c,Reduced Inequalities,_10_1,_10_2,_10_3,_10_4,_10_5,_10_6,_10_7,_10_a,_10_b,_10_c,Sustainable Cities and Communities,_11_1,_11_2,_11_3,_11_4,_11_5,_11_6,_11_7,_11_a,_11_b,_11_c,Responsible Consumption and Production,_12_1,_12_2,_12_3,_12_4,_12_5,_12_6,_12_7,_12_8,_12_a,_12_b,_12_c,Climate Action,_13_1,_13_2,_13_3,_13_a,_13_b,Life Below Water,_14_1,_14_2,_14_3,_14_4,_14_5,_14_6,_14_7,_14_a,_14_b,_14_c,Life on Land,_15_1,_15_2,_15_3,_15_4,_15_5,_15_6,_15_7,_15_8,_15_9,_15_a,_15_b,_15_c,"Peace, Justice and Strong Institutions",_16_1,_16_2,_16_3,_16_4,_16_5,_16_6,_16_7,_16_8,_16_9,_16_1,_16_a,_16_b,Partnerships for the Goals,_17_9
SaferChoice,https://www.epa.gov/saferchoice/products,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,0.5,,,,,0.5,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A List CDP - Climate Change,https://www.cdp.net/en/companies/companies-scores,Permission: Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,
A List CDP - Water Security,https://www.cdp.net/en/companies/companies-scores,Permission: Yes,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
A List CDP - Forests,https://www.cdp.net/en/companies/companies-scores,Permission: Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,
Green Seal,https://certified.greenseal.org/companies,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.5,,,,,,0.5,,,,0.5,,,,,,,,,,,,,,,0.5,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.5,,,,0.5,0.5,,,,,,,,,,0.5,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,
Fairtrade Federation,https://www.fairtradefederation.org/browse-ftf-members/shop-online/?fwp_per_page=500,Permission: Yes,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,1,1
Fairtrade International,https://www.fairtrade.net/finder,Permission: No Response,,,1,1,,1,,,,,1,,,1,1,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,,1,,,1,,,,,,1,,,,1,,,,,,,1,,,,,,,,,1,,1,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,,1,,1,,,,,,,,,,1,1,1
World Fair Trade Organization,https://wfto.com/who-we-are#search-wfto-members,Permission: Responded by asking what is required to be featured but did not respond further,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,1,,1,,1,,,,,,,1,1,,,,,,,,,,,,,,1,,,,1,,,,,,,1,,,,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,1
Bluesign,https://www.bluesign.com/downloads/referenzliste/bluesign-reference-list-total.pdf,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.5,,,,,,,,,,,,0.5,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoodWeave,https://goodweave.org/where-to-shop/,"Permission: Contact form error, Expiration: one year",,,0.5,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,0.5,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,
Leaping Bunny Certified,https://www.leapingbunny.org/shopping-guide,Permission: No Response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Fair Labor Association,https://www.fairlabor.org/affiliates/participating-companies,Permission: No Response,,,0.5,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCS (Organic Content Standard),https://textileexchange.org/standards/find-certified-company/ocs-certified/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
