"id","name","found"
"10001","Agilent Technologies Inc",true
"10002","American Airlines Group Inc",true
"10003","Advance Auto Parts Inc",true
"10004","Apple Inc",true
"10005","Axon Enterprise, Inc.",true
"10006","AbbVie Inc",true
"10007","AmerisourceBergen Corp",true
"10008","Abiomed Inc",true
"10009","Abbott Laboratories",true
"10010","ACADIA Pharmaceuticals Inc.",true
"10011","American Campus Communities Inc",true
"10012","Arch Capital Group Ltd",true
"10013","Acadia Healthcare Co Inc",true
"10014","AECOM",true
"10015","Accenture PLC",true
"10016","Adobe Inc",true
"10017","Analog Devices Inc",true
"10018","Archer-Daniels-Midland Company",true
"10019","Automatic Data Processing Inc",true
"10020","Alliance Data Systems Corp",true
"10021","Autodesk Inc",true
"10022","ADT Inc.",true
"10023","Ameren Corp",true
"10024","American Electric Power Company,",true
"10025","AES Corp",true
"10026","American Financial Group Inc",true
"10027","Aflac Incorporated",true
"10028","AGCO Corp",true
"10029","Agios Pharmaceuticals Inc",true
"10030","Assured Guaranty Ltd",true
"10031","Avangrid Inc",true
"10032","American International Group, Inc.",true
"10033","Apartment Investment and Management Company",true
"10034","Assurant Inc",true
"10035","Arthur J. Gallagher & Co",true
"10036","Akamai Technologies Inc",true
"10037","Air Lease Corp",true
"10038","Albemarle Corp",true
"10039","Align Technology Inc",true
"10040","Alaska Air Group Inc",true
"10041","Alkermes PLC",true
"10042","The Allstate Corporation",true
"10043","Allegion PLC",true
"10044","Ally Financial Inc",true
"10045","Alnylam Pharmaceuticals Inc",true
"10046","Allison Transmission Holdings Inc",true
"10047","Alexion Pharmaceuticals Inc",true
"10048","Antero Midstream Corporation",true
"10049","Applied Materials Inc",true
"10050","Amcor",true
"10051","Advanced Micro Devices, Inc.",true
"10052","AMETEK Inc",true
"10053","Amedisys Inc",true
"10054","Affiliated Managers Group Inc",true
"10055","Amgen Inc",true
"10056","American Homes 4 Rent",true
"10057","Ameriprise Financial Inc",true
"10058","American Tower Corp",true
"10059","TD Ameritrade Holding Corp",true
"10060","Amazon.com, Inc",true
"10061","AutoNation Inc",true
"10062","American National Group",true
"10063","Arista Networks Inc",true
"10064","ANSYS Inc",true
"10065","Anthem, Inc",true
"10066","Aon PLC",true
"10067","AO Smith Corp",true
"10068","Apache Corp",true
"10069","Air Products & Chemicals Inc",true
"10070","Amphenol Corp",true
"10071","Apollo Global",true
"10072","Aptiv PLC",true
"10073","Ares Management Corporation",true
"10074","Aramark Holdings",true
"10075","Arrow Electronics Inc",true
"10076","Associated Banc-Corp",true
"10077","Ashland Global Holdings Inc.",true
"10078","Athene Holding Ltd",true
"10079","Atmos Energy Corp",true
"10080","AptarGroup, Inc.",true
"10081","Altice USA Inc",true
"10082","Activision Blizzard, Inc.",true
"10083","AvalonBay Communities Inc",true
"10084","Broadcom Ltd",true
"10085","Avalara Inc",true
"10086","Avnet Inc",true
"10087","Avantor, Inc.",true
"10088","Avery Dennison Corp",true
"10089","Armstrong World Industries Inc",true
"10090","American Water Works Company Inc",true
"10091","American Express Company",true
"10092","Axis Capital Holdings Ltd",true
"10093","Axalta Coating Systems Ltd",true
"10094","Acuity Brands Inc",true
"10095","Alteryx, Inc.",true
"10096","AutoZone, Inc.",true
"10097","Aspen Technology Inc",true
"10098","The Boeing Company",true
"10099","Bank of America Corporation",true
"10100","Booz Allen Hamilton Holding Corp",true
"10101","Baxter International Inc",true
"10102","Best Buy Co., Inc.",true
"10103","Brunswick Corp",true
"10104","Becton, Dickinson and Company",true
"10105","Franklin Resources, Inc.",true
"10106","Berry Global Group, Inc.",true
"10107","Brown-Forman Corp",true
"10108","Bright Horizons Family Solutions Inc",true
"10109","Bunge Ltd",true
"10110","Brighthouse Financial Inc",true
"10111","Biogen Inc.",true
"10112","Bill.com Holdings, Inc.",true
"10113","Bio-Rad Laboratories Inc",true
"10114","The Bank of New York Mellon Corporation",true
"10115","Black Knight, Inc.",true
"10116","Booking Holdings Inc.",true
"10117","Baker Hughes Company",true
"10118","BlackRock Inc",true
"10119","Ball Corp",true
"10120","bluebird bio Inc",true
"10121","BioMarin Pharmaceutical Inc",true
"10122","Bristol-Myers Squibb Co",true
"10123","Bank of Hawaii Corp",true
"10124","BOK Financial Corp",true
"10125","Popular Inc.",true
"10126","Broadridge Financial Solutions",true
"10127","Berkshire Hathaway Inc",true
"10128","Bruker Corp",true
"10129","Brown & Brown Inc",true
"10130","Boston Scientific Corp",true
"10131","Burlington Stores Inc",true
"10132","BorgWarner Inc",true
"10133","BWX Technologies, Inc.",true
"10134","Boston Properties",true
"10135","Beyond Meat, Inc.",true
"10136","Citigroup Inc.",true
"10137","Cable One Inc",true
"10138","Credit Acceptance Corp",true
"10139","CACI International",true
"10140","Conagra Brands, Inc.",true
"10141","Cardinal Health, Inc.",true
"10142","Carrier Global Corp.",true
"10143","Casey's General Stores Inc",true
"10144","Caterpillar Inc.",true
"10145","Chubb Limited",true
"10146","Cboe Global Markets, Inc.",true
"10147","CBRE Group, Inc.",true
"10148","Commerce Bancshares, Inc.",true
"10149","Cabot Corporation",true
"10150","The Chemours Company",true
"10151","Crown Castle International Corp",true
"10152","Crown Holdings, Inc.",true
"10153","Carnival Corporation",true
"10154","Ceridian HCM Holding Inc",true
"10155","CDK Global Inc",true
"10156","Cadence Design Systems Inc",true
"10157","CDW Corporation",true
"10158","Celanese Corporation",true
"10159","Cerner Corp",true
"10160","CF Industries Holdings Inc",true
"10161","Citizens Financial Group Inc",true
"10162","Cullen/Frost Bankers Inc",true
"10163","Colfax Corp",true
"10164","Carlyle Group",true
"10165","Cognex Corp",true
"10166","Church & Dwight Co Inc",true
"10167","Chemed Corp",true
"10168","Chegg, Inc.",true
