"transactionId","acceptorName"
"6569f451e4724fb9decb6794","RARE.ORG/CARBONCOUNTS"
"656f3b99c1900ade4120bfd2","UNIVERSITY GAZEL"
"6570a4189190db3e35ade0e8","Mol*GeekGorgeous Kft"
"65738acdd920faa4b30cc25f","TST* CAN CAN WONDERLAND"
"6579e26b2af130a772a1f238","ZEST CAFE & HOME ART"
"657a54b82af130a772a2235f","BODEGA TAPAS"
"657b97160f65feb7bfac3572","USPS PO 49780200 3161 S W"
"657b972a0f65feb7bfac35a4","USPS PO 49780200 3161 S W"
"657bae060f65feb7bfac35d6","LAS MARGARITAS MEXICAN RE"
"657c804d0f65feb7bfac72c5","RARE.ORG/CARBONCOUNTS"
"657c80580f65feb7bfac7314","RARE.ORG/CARBONCOUNTS"
"657c973c99e29298b7e246ae","RARE.ORG/CARBONCOUNTS"
"657c9b4e99e29298b7e2494b","UNIVERSITY GAZEL"
"657cbc5699e29298b7e24a56","THE I MARKET #708"
"657d045c99e29298b7e24bf4","QT 184 INSIDE"
"657e235099e29298b7e24eb6","SP HELLOBULK"
"657f174999e29298b7e25be0","SQ *HEIRLOOM BAKERY &"
"657f34b199e29298b7e25c95","SQ *LADYCO LLC"
"6581ac8420a7237b5d532ae0","QT 184 INSIDE"
"6584f1e95ff5e6175dc70e44","Crown Burger VI"
"6584fa805ff5e6175dc70e62","QT 184 INSIDE"
"658714655ff5e6175dc736ac","TST* HILLMAN BEER OLD FOR"
"658d86ff5ff5e6175dc76caa","RISE DOWNTOWN DURHAM"
"658db24e5ff5e6175dc76cec","TST* HILLMAN BEER OLD FOR"
"658e15865ff5e6175dc77000","LUCKYS TAPROOM AND EAT"
"659046375ff5e6175dc77499","570 BAT CAVE ROAD"
"6591fbbf5ff5e6175dc781d7","CURRY HOUSE"
"659353c25ff5e6175dc7820d","CIRCLE K # 23118"
"659462e60991662d8558d427","UNIVERSITY GAZEL"
"65958892bae7138d7fa007ad","RARE.ORG/CARBONCOUNTS"
"65958894bae7138d7fa007e4","RARE.ORG/CARBONCOUNTS"
"65958ae56a97d54f125c2579","RARE.ORG/CARBONCOUNTS"
