__v,_id,carbonMultiplier,category,plaidCategoriesId,plaid_categories,subCategory
0,61e96acb12e95f10dcdcf127,0.239937,15,"Healthcare-Healthcare-Services-Hospitals,-Clinics-and-Medical-Centers",,null
0,61e6f74a116477528e095526,0,2,Bank-Fees-ATM,"[""Bank Fees"",""ATM"",""""]",2001
0,61e6f74a116477528e095528,0,2,Bank-Fees-Cash-Advance,"[""Bank Fees"",""Cash Advance"",""""]",2001
0,61e6f74a116477528e09552a,0,2,Bank-Fees-Excess-Activity,"[""Bank Fees"",""Excess Activity"",""""]",2001
0,61e6f74a116477528e09552c,0,2,Bank-Fees-Foreign-Transaction,"[""Bank Fees"",""Foreign Transaction"",""""]",2001
0,61e6f74a116477528e09552e,0,2,Bank-Fees-Fraud-Dispute,"[""Bank Fees"",""Fraud Dispute"",""""]",2001
0,61e6f74a116477528e095530,0,2,Bank-Fees-Insufficient-Funds,"[""Bank Fees"",""Insufficient Funds"",""""]",2001
0,61e6f74a116477528e095532,0,2,Bank-Fees-Late-Payment,"[""Bank Fees"",""Late Payment"",""""]",2001
0,61e6f74a116477528e095534,0,2,Bank-Fees-Overdraft,"[""Bank Fees"",""Overdraft"",""""]",2001
0,61e6f74a116477528e095536,0,2,Bank-Fees-Wire-Transfer,"[""Bank Fees"",""Wire Transfer"",""""]",2001
0,61e6f74a116477528e095538,0,2,Bank-Fees,"[""Bank Fees"","""",""""]",2001
0,61e6f74b116477528e095831,0,4,Service-Import-and-Export,"[""Service"",""Import and Export"",""""]",4014
0,61e6f74b116477528e0957b5,0.063074299,4,Service-Employment-Agencies,"[""Service"",""Employment Agencies"",""""]",4018
0,61e6f74b116477528e0957c7,0.064583385,2,Service-Financial-Stock-Brokers,"[""Service"",""Financial"",""Stock Brokers""]",2006
0,61e6f74b116477528e0957d9,0.064583385,2,Service-Financial-Business-Brokers-and-Franchises,"[""Service"",""Financial"",""Business Brokers and Franchises""]",2006
0,61e6f74b116477528e095836,0.064583385,2,Service-Insurance,"[""Service"",""Insurance"",""""]",2002
0,61e6f74a116477528e095549,0.0708894,4,Community-Cemetery,"[""Community"",""Cemetery"",""""]",4018
0,61e6f74b116477528e0957e9,0.0708894,4,Service-Funeral-Services,"[""Service"",""Funeral Services"",""""]",4018
0,61e6f74b116477528e0958c5,0.074350952,12,Service-Real-Estate-Apartments,"[""Service"",""Real Estate"",""Apartments""]",12
0,61e6f74b116477528e0958c7,0.074350952,12,Service-Real-Estate-Rent,"[""Service"",""Real Estate"",""Rent""]",12
0,61e6f74a116477528e09554c,0.090866332,4,Community-Courts,"[""Community"",""Courts"",""""]",4009
0,61e6f74b116477528e09583d,0.090866332,4,Service-Legal,"[""Service"",""Legal"",""""]",4009
0,61e6f74b116477528e0957c3,0.091366558,2,Service-Financial-Taxes,"[""Service"",""Financial"",""Taxes""]",2005
0,61e6f74b116477528e0957df,0.091366558,2,Service-Financial-Accounting-and-Bookkeeping,"[""Service"",""Financial"",""Accounting and Bookkeeping""]",2006
0,61e6f74b116477528e0959bf,0,null,Tax-Payment,"[""Tax"",""Payment"",""""]",null
0,61e6f74b116477528e0959c1,0,null,Tax-Refund,"[""Tax"",""Refund"",""""]",null
0,61e6f74b116477528e0959c3,0,null,Tax,"[""Tax"","""",""""]",null
0,61e6f74b116477528e0958cb,0.115304426,11,Service-Renewable-Energy,"[""Service"",""Renewable Energy"",""""]",11
0,61e6f74a116477528e095689,0,2,Interest-Interest-Charged,"[""Interest"",""Interest Charged"",""""]",2001
0,61e6f74a116477528e09568b,0,2,Interest-Interest-Earned,"[""Interest"",""Interest Earned"",""""]",2001
0,61e6f74a116477528e09568d,0,null,Interest,"[""Interest"","""",""""]",null
0,61e6f74a116477528e09568f,0,2,Payment-Credit-Card,"[""Payment"",""Credit Card"",""""]",2001
0,61e6f74a116477528e095691,0,2,Payment-Loan,"[""Payment"",""Loan"",""""]",2001
0,61e6f74a116477528e095694,0,11,Payment-Rent,"[""Payment"",""Rent"",""""]",11
0,61e6f74a116477528e095696,0,null,Payment,"[""Payment"","""",""""]",null
0,61e6f74b116477528e0957c0,0.115436325,2,Service-Financial,"[""Service"",""Financial"",""""]",2006
0,61e6f74b116477528e0957ca,0,2,Service-Financial-Loans-and-Mortgages,"[""Service"",""Financial"",""Loans and Mortgages""]",2004
0,61e6f74b116477528e0957cd,0.115436325,2,Service-Financial-Holding-and-Investment-Offices,"[""Service"",""Financial"",""Holding and Investment Offices""]",2003
0,61e6f74b116477528e0957cf,0.115436325,2,Service-Financial-Fund-Raising,"[""Service"",""Financial"",""Fund Raising""]",2006
0,61e6f74b116477528e0957d1,0.115436325,2,Service-Financial-Financial-Planning-and-Investments,"[""Service"",""Financial"",""Financial Planning and Investments""]",2003
0,61e6f74a116477528e09572f,0.11637542,13,Recreation-Stadiums-and-Arenas,"[""Recreation"",""Stadiums and Arenas"",""""]",2006
0,61e6f74a116477528e09553d,0.118008761,19,Community-Animal-Shelter,"[""Community"",""Animal Shelter"",""""]",19
0,61e6f74a116477528e095583,0.118008761,19,Community-Organizations-and-Associations,"[""Community"",""Organizations and Associations"",""""]",19
0,61e6f74a116477528e095585,0.118008761,19,Community-Organizations-and-Associations-Youth-Organizations,"[""Community"",""Organizations and Associations"",""Youth Organizations""]",19
